seed,delta_bc_mu01_minus_mu1,delta_assortativity_mu01_minus_mu1,delta_std_opinion_mu01_minus_mu1,delta_max_cascade_mu01_minus_mu1,mu1_bimodal,mu01_bimodal
0,0.8065110329525289,0.2839597311051177,0.8076217753270758,2331.0,False,True
1,0.07477737477978905,-0.02416944780689847,-0.07937263780399523,1712.0,False,False
2,0.06699021425963034,-0.04836868438839555,-0.10254077043153649,3432.0,False,False
3,-0.02262679549454677,-0.08628891200240744,-0.08834686496070618,5143.0,False,False
4,-0.003740681008512853,-0.052910324395247746,-0.10443501172712219,3025.0,False,False
5,0.7716643304761277,0.30670089501388986,0.7861824555507387,1807.0,False,True
6,0.7131154501260313,0.0797621291372137,0.7302632894091988,3619.0,False,True
7,-0.5646792094549298,-0.810877139860133,-0.5831440818169318,1890.0,True,False
8,0.7802123019495714,0.455725292574617,0.6526957704390607,2334.0,False,True
9,-0.055987016273759016,-0.03644667458859039,-0.08404031866304953,3223.0,False,False
10,-0.015293836160005736,-0.040040280878973225,-0.06341043587649275,3388.0,False,False
11,0.023488272589290954,-0.04624587553886202,-0.10358189597428953,2194.0,False,False
12,0.007930508393371088,-0.0179084509060363,-0.06711784731077299,2793.0,False,False
13,0.7813304492046368,0.34189860491938684,0.7641823846679503,2066.0,False,True
14,-0.007683355630728944,-0.14763851204245512,-0.12699846001434165,1656.0,False,False
15,0.7595515390896048,0.2526094164627746,0.7709135039733298,3235.0,False,True
16,0.018461677573615498,-0.02765748174057355,-0.07921179544286722,2709.0,False,False
17,0.8397158878321557,0.2825940022985896,0.7978432274825069,1792.0,False,True
18,0.06355906364216773,-0.09290909448738344,-0.08518484565153078,2144.0,False,False
19,0.7788145622740741,0.3979316570416428,0.7017280803487245,3003.0,False,True
20,-0.004852736265206603,-0.06952990090098934,-0.08251347817880882,2517.0,False,False
21,0.007922546847103057,-0.0324241877784354,-0.07153958715838703,1523.0,False,False
22,-0.03420766916402612,-0.16076792075965568,-0.12984697707809062,2548.0,False,False
23,0.09386122282895756,-0.045004165310881215,-0.07915662619227073,1452.0,False,False
24,-0.025100032534239286,-0.2161373596972183,-0.1474050836154594,2269.0,False,False
25,0.06622009955192858,-0.048990618567736004,-0.07861162712175444,3789.0,False,False
26,-0.05282465743949549,-0.2261975041072567,-0.16349638807974015,2315.0,False,False
27,0.06967739840777501,-0.04810131527727392,-0.08913169781462091,2119.0,False,False
28,0.7855640725978741,0.530869159559132,0.3772825749442118,3409.0,False,True
29,0.014604957280032999,-0.030345231782952807,-0.057906389009370354,1595.0,False,False
30,0.009677674181181234,-0.039636128201448725,-0.07216285561506784,4519.0,False,False
31,0.7650494822042704,0.5702585440784466,0.4430874655266738,1640.0,False,True
32,0.045599080657833246,-0.025598525577138195,-0.1024488062961256,1661.0,False,False
33,-0.06160656700097156,-0.12033571797483616,-0.10682179632614315,1838.0,False,False
34,0.03790410585567003,0.011177001713577744,-0.0791091612725797,1965.0,False,False
35,0.8160812446034376,0.25272688960805406,0.7922978430394261,1605.0,False,True
36,0.09052018935606906,-0.07930442396753606,-0.08930967694983416,2070.0,False,False
37,0.057160587427081244,-0.015058263810468417,-0.09050895811101126,2119.0,False,False
38,0.005001949356777835,-0.16433438110667867,-0.11277112865327218,2739.0,False,False
39,0.08375931638172596,-0.022043634738103883,-0.07282305309115665,1694.0,False,False
40,0.8248449435499243,0.42785098801673704,0.7062672190213664,1450.0,False,True
41,0.02300695922962187,-0.006263617261375365,-0.07633531858454998,1871.0,False,False
42,0.03338556152084193,-0.03940756184787433,-0.07847989018589997,2679.0,False,False
43,-0.00032248626046085804,-0.028092050659714082,-0.07106898903236113,2013.0,False,False
44,-0.015840276800597908,-0.022682784285448558,-0.06724013923513186,2673.0,False,False
45,0.8159320771355201,0.47240605430224175,0.5948895512262955,2160.0,False,True
46,-0.0038855618931561975,-0.1786267093791798,-0.11082920223593372,2547.0,False,False
47,0.8162762625451767,0.29142936508225514,0.7899321358834597,1470.0,False,True
48,0.03490694358569374,-0.027123002399394552,-0.08060049912450315,4050.0,False,False
49,0.8167074015589362,0.33852653243248465,0.7632828980162781,2517.0,False,True
