synthetic_fraction,activity_multiplier,n_worlds,exposure_majority_probability,exposure_majority_ci95_low,exposure_majority_ci95_high,production_majority_probability,production_majority_ci95_low,production_majority_ci95_high
0.01,1.0,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.01,2.0,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.01,3.0,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.01,5.0,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.01,7.5,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.01,10.0,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.01,15.0,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.05,1.0,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.05,2.0,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.05,3.0,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.05,5.0,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.05,7.5,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.05,10.0,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.05,15.0,10000,0.0125,0.010502016506099209,0.014872381905310471,0.0,0.0,0.00038399837067659573
0.1,1.0,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.1,2.0,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.1,3.0,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.1,5.0,10000,0.0004,0.00015556283662307484,0.0010281283353569795,0.0,0.0,0.00038399837067659573
0.1,7.5,10000,0.0973,0.09164502945588462,0.10326424283185828,0.0,0.0,0.00038399837067659573
0.1,10.0,10000,0.6012,0.5915659110432305,0.6107563676865444,0.9999,0.9994337311025987,0.9999823473263989
0.1,15.0,10000,0.9971,0.9958382254534343,0.9979800033664389,1.0,0.9996160016293234,1.0
0.15,1.0,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.15,2.0,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.15,3.0,10000,0.0001,1.765267360112231e-05,0.0005662688974013381,0.0,0.0,0.00038399837067659573
0.15,5.0,10000,0.2223,0.21425813646910707,0.23055513622596668,0.0001,1.765267360112231e-05,0.0005662688974013381
0.15,7.5,10000,0.9435,0.93880210438774,0.9478572890574698,1.0,0.9996160016293234,1.0
0.15,10.0,10000,0.9999,0.9994337311025987,0.9999823473263989,1.0,0.9996160016293234,1.0
0.15,15.0,10000,1.0,0.9996160016293234,1.0,1.0,0.9996160016293234,1.0
0.2,1.0,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.2,2.0,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.2,3.0,10000,0.042,0.0382412189005821,0.04611052360695765,0.0,0.0,0.00038399837067659573
0.2,5.0,10000,0.916,0.9104022525804916,0.9212782607751056,1.0,0.9996160016293234,1.0
0.2,7.5,10000,1.0,0.9996160016293234,1.0,1.0,0.9996160016293234,1.0
0.2,10.0,10000,1.0,0.9996160016293234,1.0,1.0,0.9996160016293234,1.0
0.2,15.0,10000,1.0,0.9996160016293234,1.0,1.0,0.9996160016293234,1.0
0.25,1.0,10000,0.0,0.0,0.00038399837067659573,0.0,0.0,0.00038399837067659573
0.25,2.0,10000,0.0073,0.005810351168746254,0.009168040825718465,0.0,0.0,0.00038399837067659573
0.25,3.0,10000,0.5318,0.5220096792559384,0.5415658984476867,0.4991,0.489302423280516,0.5088982679165511
0.25,5.0,10000,0.9994,0.9986914759036991,0.999724986523669,1.0,0.9996160016293234,1.0
0.25,7.5,10000,1.0,0.9996160016293234,1.0,1.0,0.9996160016293234,1.0
0.25,10.0,10000,1.0,0.9996160016293234,1.0,1.0,0.9996160016293234,1.0
0.25,15.0,10000,1.0,0.9996160016293234,1.0,1.0,0.9996160016293234,1.0
