synthetic_fraction,metric,baseline_activity,treatment_activity,n_worlds,mean_difference,std_difference,median_difference,ci95_low,ci95_high,t_statistic,p_raw,cohens_dz,fraction_difference_gt_0,p_holm,reject_holm_0_05
0.01,exposure_efficiency_gap,1.0,2.0,10000,0.1274249940864893,8.4616913948,0.7661595197062545,-0.038441187558119955,0.29329117573109853,1.5059045306804302,0.1321232715936106,0.015059045306804303,0.5575,0.6607893049909561,False
0.01,exposure_efficiency_gap,2.0,3.0,10000,-0.0914109170363969,6.312881648182564,0.16071467217991753,-0.21515610287499226,0.032334268802198474,-1.4480061900528973,0.14764667314265756,-0.014480061900528973,0.5152,0.6607893049909561,False
0.01,exposure_efficiency_gap,3.0,5.0,10000,-0.13687642651125545,5.016725962870421,0.13531855612885124,-0.23521435222786213,-0.03853850079464877,-2.728401501782227,0.006375328719872111,-0.02728401501782227,0.5132,0.06375328719872111,False
0.01,exposure_efficiency_gap,3.0,7.5,10000,-0.36454053293923006,4.776501213833011,-0.016144540171847854,-0.4581695700896742,-0.2709114957887859,-7.631957297184402,2.523286340937453e-14,-0.07631957297184402,0.4982,5.046572681874906e-13,True
0.01,exposure_efficiency_gap,3.0,10.0,10000,-0.6292754046510085,4.643645001801117,-0.17503234122714284,-0.720300192654404,-0.538250616647613,-13.551324539385188,1.8061447134881049e-41,-0.13551324539385187,0.4822,4.876590726417883e-40,True
0.01,exposure_efficiency_gap,3.0,15.0,10000,-1.2171885528876134,4.44741912388328,-0.6723359592316265,-1.3043669187525113,-1.1300101870227155,-27.368424674686853,4.303589280117011e-159,-0.27368424674686853,0.4214,1.8075074976491447e-157,True
0.01,exposure_efficiency_gap,5.0,7.5,10000,-0.22766410642797463,4.116008691788686,-0.12936936220004958,-0.30834616081518135,-0.14698205204076792,-5.5311862407423416,3.260795332082586e-08,-0.05531186240742341,0.4844,5.217272531332137e-07,True
0.01,exposure_efficiency_gap,7.5,10.0,10000,-0.2647348717117785,3.5524577442026555,-0.24354844775242857,-0.3343701933032537,-0.1950995501203033,-7.452161032564172,9.942884183522126e-14,-0.07452161032564172,0.4726,1.889147994869204e-12,True
0.01,exposure_efficiency_gap,10.0,15.0,10000,-0.587913148236605,3.1650052688302535,-0.4826136573462949,-0.6499536215098982,-0.5258726749633118,-18.575423997758158,9.484661517018415e-76,-0.1857542399775816,0.4334,3.3196315309564452e-74,True
0.05,exposure_efficiency_gap,1.0,2.0,10000,0.07150340380192435,3.833667689017109,0.2982259608206572,-0.0036441986812326965,0.1466510062850814,1.8651435023116645,0.06219056066923935,0.018651435023116645,0.5363,0.43533392468467547,False
0.05,exposure_efficiency_gap,2.0,3.0,10000,-0.005273256278402754,3.0390461938609925,0.08860627942758903,-0.06484467817250268,0.05429816561569717,-0.17351681883134792,0.8622487212841562,-0.0017351681883134794,0.5123,1.0,False
0.05,exposure_efficiency_gap,3.0,5.0,10000,-0.10552074675933912,2.620304999799411,-0.0384073194465091,-0.15688399847614076,-0.054157495042537473,-4.027040621890083,5.6900647456968994e-05,-0.04027040621890082,0.4946,0.0007397084169405969,True
0.05,exposure_efficiency_gap,3.0,7.5,10000,-0.37484835927114135,2.541785501813112,-0.2861658300393004,-0.42467247079622644,-0.32502424774605626,-14.747442654140317,1.0362820882978095e-48,-0.14747442654140316,0.4551,3.1088462648934283e-47,True
0.05,exposure_efficiency_gap,3.0,10.0,10000,-0.6728884895512555,2.4986977158647656,-0.5711803315623838,-0.7218679937517146,-0.6239089853507963,-26.929567561491837,2.8807397045906254e-154,-0.2692956756149184,0.4079,1.1522958818362502e-152,True
0.05,exposure_efficiency_gap,3.0,15.0,10000,-1.3027994884671932,2.4860291841298228,-1.1747778677918048,-1.3515306639485016,-1.2540683129858847,-52.404834858091505,0.0,-0.5240483485809151,0.3088,0.0,True
0.05,exposure_efficiency_gap,5.0,7.5,10000,-0.26932761251180226,2.3166534159091294,-0.2638629496238267,-0.3147386820441803,-0.22391654297942418,-11.625718834861166,4.8285167336354806e-31,-0.11625718834861166,0.454,1.0622736813998057e-29,True
0.05,exposure_efficiency_gap,7.5,10.0,10000,-0.2980401302801141,2.1466803831180052,-0.29036077293499396,-0.34011938627590504,-0.2559608742843232,-13.883768288189112,2.0072424480111812e-43,-0.1388376828818911,0.445,5.821003099232425e-42,True
0.05,exposure_efficiency_gap,10.0,15.0,10000,-0.6299109989159375,2.0516687619794007,-0.6460835634222448,-0.6701278359135824,-0.5896941619182926,-30.70237314078977,6.683555653449242e-198,-0.3070237314078977,0.3763,2.873928930983174e-196,True
0.1,exposure_efficiency_gap,1.0,2.0,10000,0.05974541284686052,2.844604636711992,0.2063714458444066,0.003985436813000343,0.11550538888072069,2.100306386194981,0.03572688060408362,0.021003063861949813,0.5324,0.3215419254367526,False
0.1,exposure_efficiency_gap,2.0,3.0,10000,-0.03777142483230608,2.364047295165821,-0.004177576121671134,-0.08411150978475301,0.008568660120140854,-1.5977440430038727,0.11013155083182602,-0.015977440430038726,0.4992,0.6607893049909561,False
0.1,exposure_efficiency_gap,3.0,5.0,10000,-0.08908234735598235,2.19015628478083,-0.043766857838943185,-0.13201381852553876,-0.046150876186425945,-4.067396832591646,4.7906110965053754e-05,-0.04067396832591646,0.491,0.0006706855535107525,True
0.1,exposure_efficiency_gap,3.0,7.5,10000,-0.3640317323960611,2.1518964159180993,-0.3032432058349812,-0.4062132331327104,-0.32185023165941185,-16.91678696535903,2.5598265549538715e-63,-0.1691678696535903,0.4405,8.703410286843162e-62,True
