synthetic_fraction,activity_multiplier,baseline_multiplier,n_worlds,paired_delta_effect_n,paired_delta_effect_mean,paired_delta_effect_std,paired_delta_effect_median,paired_delta_effect_min,paired_delta_effect_max,paired_delta_effect_ci95_low,paired_delta_effect_ci95_high,paired_delta_effect_ci95_half_width,paired_production_change_n,paired_production_change_mean,paired_production_change_std,paired_production_change_median,paired_production_change_min,paired_production_change_max,paired_production_change_ci95_low,paired_production_change_ci95_high,paired_production_change_ci95_half_width,paired_exposure_change_n,paired_exposure_change_mean,paired_exposure_change_std,paired_exposure_change_median,paired_exposure_change_min,paired_exposure_change_max,paired_exposure_change_ci95_low,paired_exposure_change_ci95_high,paired_exposure_change_ci95_half_width,fraction_paired_effect_gt_0
0.01,2.0,1.0,5000,5000,0.0004926975686815107,0.012336436428351586,-0.0006617594259655003,-0.09417651185223733,0.09276839014863976,0.00015067246894140336,0.000834722668421618,0.0003420250997401073,5000,0.009791305050722746,0.002436422315932118,0.009796492699012827,0.000507275352192707,0.019307374329456,0.009723755755555093,0.009858854345890398,6.754929516765281e-05,5000,0.010284002619404256,0.012501509823057883,0.009162590460827093,-0.08464015423807707,0.10144296909754799,0.009937400894589577,0.010630604344218935,0.00034660172481467945,0.4668
0.01,3.0,1.0,5000,5000,0.0002476511877126037,0.01446321841578436,-0.00129896974313048,-0.08708285038466991,0.09371810934602463,-0.00015333849435254353,0.0006486408697777509,0.00040098968206514723,5000,0.01939184008599052,0.0027829954823467245,0.019421044309505725,0.010478791521835716,0.03169687013512003,0.019314682122833642,0.0194689980491474,7.715796315687697e-05,5000,0.019639491273703125,0.014672129085995068,0.01809849684782364,-0.06711192083667072,0.11578391522218323,0.01923270958733993,0.02004627296006632,0.00040678168636319376,0.4512
0.01,5.0,1.0,5000,5000,-0.00011045815735184186,0.017473979461706885,-0.00203080786094413,-0.09894786072937287,0.09526235986918624,-0.0005949205548162835,0.0003740042401125998,0.0004844623974644417,5000,0.03804886521601503,0.0032699718913878164,0.03799421873236844,0.026365360418827456,0.050527991811108335,0.037958205934560875,0.03813952449746919,9.06592814541589e-05,5000,0.037938407058663186,0.017569300339536093,0.03600947984939608,-0.05045310414391218,0.13611867069615932,0.03745130190995237,0.038425512207374,0.00048710514871081655,0.4506
0.01,7.5,1.0,5000,5000,-0.0017646748976601263,0.02127994100340586,-0.004147855475996801,-0.07187148493852868,0.11350733592657605,-0.002354656776659362,-0.0011746930186608906,0.0005899818789992357,5000,0.06042466434093211,0.0038678654017782954,0.06039102995066205,0.04496353676681546,0.07569264996432515,0.06031742858792452,0.0605319000939397,0.0001072357530075888,5000,0.05865998944327198,0.021406455561728495,0.05619391229613294,-0.012180265638255278,0.16814454208718935,0.058066499974809595,0.05925347891173436,0.0005934894684623831,0.424
0.01,10.0,1.0,5000,5000,-0.004977270789381478,0.023836723930165803,-0.0071394617894233936,-0.11078626873215312,0.11438163225320545,-0.005638138936114331,-0.004316402642648626,0.0006608681467328523,5000,0.08180248436687695,0.004272273457742021,0.08180980769094409,0.06639876371942618,0.09619887517955306,0.08168403648575766,0.08192093224799625,0.00011844788111930303,5000,0.07682521357749549,0.023915323902913288,0.07448802766584724,-0.026692806514653958,0.19132608693526607,0.07616216626308527,0.0774882608919057,0.0006630473144102171,0.382
0.01,15.0,1.0,5000,5000,-0.01352266359324247,0.02878405919498323,-0.015923187449745073,-0.11327793736588394,0.11259366201605712,-0.014320695567408349,-0.01272463161907659,0.00079803197416588,5000,0.12151139587364969,0.004997883288807839,0.12153953003661518,0.10214252873563218,0.13938908056817395,0.12137283061290588,0.1216499611343935,0.00013856526074380537,5000,0.1079887322804072,0.028879363964693167,0.1051786226137736,0.017746905282711778,0.23691113619300905,0.10718805800158916,0.10878940655922524,0.0008006742788180431,0.291
0.05,2.0,1.0,5000,5000,0.0011580882421922164,0.026644192177489787,0.00027687896372945164,-0.12498503830615747,0.11667178976838108,0.0004193836300517863,0.0018967928543326465,0.0007387046121404301,5000,0.04516860739949087,0.005266986468281456,0.045068458783707646,0.02525938253341374,0.06314855329932285,0.04502258130981689,0.04531463348916485,0.00014602608967397498,5000,0.04632669564168308,0.027074676439000415,0.04555236616993604,-0.07702917317360379,0.17320159480607542,0.04557605594412841,0.047077335339237754,0.0007506396975546702,0.505
0.05,3.0,1.0,5000,5000,0.0012935448207653608,0.03035226481223744,0.00044276546999205343,-0.1329639123341287,0.13733785264730286,0.00045203467640264085,0.0021350549651280807,0.00084151014436272,5000,0.08640789141152598,0.005631410240240481,0.08637249942170815,0.06531140823884887,0.10649239728378494,0.08625176174958656,0.0865640210734654,0.0001561296619394227,5000,0.08770143623229132,0.03063407734374307,0.08690730655012896,-0.0402741045028136,0.2186019725897962,0.08685211289489218,0.08855075956969045,0.0008493233373991391,0.508
0.05,5.0,1.0,5000,5000,0.00017456960969834166,0.03596689433778138,-0.0003273558244164497,-0.1753888231974146,0.14358521364250376,-0.0008226049548258266,0.0011717441742225099,0.0009971745645241683,5000,0.15839109462617249,0.006548328650453398,0.1584269955193697,0.13510375259212284,0.18024053319866074,0.15820954359457515,0.15857264565776982,0.00018155103159734733,5000,0.15856566423587082,0.03647805673121863,0.1580326009050608,-0.014193606038708784,0.2992979295199134,0.15755431780172982,0.15957701067001182,0.0010113464341409864,0.4966
0.05,7.5,1.0,5000,5000,-0.0054874182567056125,0.040490544015856146,-0.006367853563392395,-0.1631061773018907,0.17037379309157533,-0.006610010055073506,-0.004364826458337719,0.0011225917983678938,5000,0.23300837557350104,0.006976698296691442,0.23305516681421756,0.2070959903954901,0.26027106718171195,0.23281494808375217,0.23320180306324992,0.00019342748974886711,5000,0.22752095731679547,0.04053390757355542,0.226821590891561,0.07207714254464156,0.4026893107691027,0.2263971632729304,0.22864475136066054,0.0011237940438650696,0.4382
