replicate,network_seed,opinion_seed,producer_assignment_seed,simulation_seed
0,65583179,623656047,245378476,1832619589
1,1194509389,1579171980,1902511893,1430609973
2,1482489492,1896230959,1048920119,250429967
3,1132718658,885118435,1141311234,155065781
4,371536372,1587245653,2019921348,1393904558
5,324311484,1095705029,1991909492,944388054
6,2121008945,1973173988,1944269170,1858624059
7,1916677604,1189820944,166401295,716351159
8,1685978544,1771017367,506871175,1174460861
9,740747344,1958366663,1806432353,1029771407
10,506514354,96537337,2093210988,956364330
11,1252895936,1781374035,453508379,547598160
12,1902963570,593402330,104636275,58341444
13,1333099144,1752229242,814891589,1623148903
14,1502157319,2084073645,939317761,2107716982
15,943190730,1603547288,258471579,1317470266
16,1619001051,88199783,468718653,1065860094
17,2095206080,1351970783,1716090267,1594584142
18,299726,648046976,1271296286,93653058
19,412174899,1250674395,904324063,475938414
20,570655263,259640012,114634243,1298803230
21,1489728226,312760727,172210595,382781186
22,932438464,1115376772,811878723,444850776
23,340984472,244382419,1241527055,47020221
24,1504888931,2098693957,1631480379,465320965
25,1941860795,1863823949,1857177730,1660649778
26,1547060142,2118319168,710754626,1934725687
27,240571604,1657949388,1387948581,1017997520
28,1193795466,1456735872,532578292,1971406028
29,658632477,401663494,674270626,2102547212
30,361595229,1092928766,1855070567,1234322566
31,1303914238,1754440525,1360141923,722888444
32,62831229,75979754,57517079,598333392
33,825852196,429972640,1374293398,1632490341
34,1777798622,1206185612,1859461057,264825292
35,717018728,859911327,995596699,1550636445
36,818180769,2037291052,1792062898,970195804
37,295927604,1875602067,1028679280,312482743
38,1372858890,1422337970,962826212,434241109
39,2119612469,1576351691,1796017318,1450837653
40,1985321432,823933397,909635928,1023840883
41,337246826,501583835,1745168422,12847236
42,1287628092,1965680293,185086855,708986269
43,1460015478,2090072299,1667446771,98586251
44,1344457956,691025273,332700792,444576700
45,1855647487,63158886,439458993,1834353061
46,560863661,730443665,2145273919,1958561162
47,1758961961,2088231003,757797410,1369118
48,672193298,2124512806,1654038981,1351968834
49,1334381808,389615178,811236578,971450778
50,827599667,91397264,1739890502,1566565571
51,1391030767,222152092,322752307,1594044038
52,1109092959,312638414,2022393895,370949095
53,1000855095,1907985908,1209348577,497822167
54,965053607,1576556800,756295425,329862244
55,191591643,1144924932,1937653397,778890675
56,175242133,638869457,1823885194,255340214
57,1839126186,1870160365,1293644128,1548957518
58,2022873289,272329480,2034777638,318373562
59,51904844,1496967971,58558910,1617344534
60,1432442171,1025902284,2132394949,218128397
61,666606988,1656292906,1379885613,852462275
62,1452183140,551211323,129187787,640863030
63,1261504252,1353003070,66822872,1238465200
64,725963712,938137101,706191908,1242671089
65,2100300384,1941532472,2063167695,1944305798
66,1390708644,1097138598,1721849170,848040038
67,709739252,902232106,12753647,9191541
68,1233648267,1032836479,2074219073,50870773
69,1236102420,1726142062,1539978084,254329043
70,1480124507,939835119,548355277,1544309904
71,2045955917,919381770,1226312690,1565089176
72,1330656287,26685229,1661733457,1191105186
73,1377866226,614223409,496501890,8922680
74,377042939,1716439454,2098536086,1706854715
75,1352610295,269490611,475375024,733364371
76,214899129,1974831382,715873258,1425347024
77,891497154,1882254038,1651993432,1142732496
78,1279078117,1981224746,373269261,51727827
79,1427906900,571605316,313610571,1919568862
80,1057075717,719044195,696572064,881935079
81,2052143238,1310987054,1339360786,572894871
82,94205027,294791076,706657983,1751050969
83,735596747,2085766956,2025258723,1284650224
84,1280679357,1509720672,1760644402,1286868126
85,1613406066,1598780261,473139980,2033502625
86,382994125,741491909,733744586,1271529684
87,1252974983,89902410,1021617003,2144681633
88,1439456811,1587032944,1947004189,767671929
89,1262306871,1759988972,1062271297,1810307812
90,1591164733,1304254351,745090288,575375459
91,681316370,1231662270,1622524527,514537177
92,186910270,208002429,526029968,1395405912
93,1816216186,1444962540,303654737,600253024
94,1379170177,1797317351,1827811023,1821679746
95,1407486841,723207488,1243275275,8801997
96,1473575146,707272091,2065029947,2051533775
97,1227958697,862268710,1124574916,67371877
98,457398646,1637362505,1530986775,678268343
99,1383888509,905945390,421827964,1997473392
100,981701929,2079685671,1573209505,89674116
101,1207635081,584347374,1282047904,1337096935
102,862488181,1365461782,1051302691,642387728
103,152198684,495395718,1397154948,2011104910
104,2035976366,1063091625,1929613810,1268869010
105,455203061,1738600127,804753083,93862244
106,1199030206,1844522169,248394382,1863892686
107,600581010,657590430,1268094073,919320422
108,498853763,1575424619,437941179,110087835
109,739932538,1054400975,71223841,148539675
110,478680277,669702015,1052778858,978148341
111,527998972,1161847924,1467638994,1258588826
112,2127730533,1339554705,1249746206,642309787
113,422202473,434656257,1054061324,1539515692
114,874948957,1002890780,1123654708,1365297776
115,928536096,1541941241,1607196904,525174468
116,1647651220,1855407708,995139450,830058878
117,278853193,610856718,839820710,203559487
118,1252903381,1140476841,554901723,1355528575
119,1150467987,1762956337,1603468648,920186431
120,1167542922,1531854236,2001985634,1311234691
121,763534203,172976772,830105774,284070050
122,1934009528,571346815,1446162159,1890493555
123,870343440,368659194,1923953485,1696002139
124,1490178144,1299990632,1264610012,1996337022
125,714603858,532217218,1768070980,1736958403
126,444210835,416825076,1126549719,1356292366
127,358967831,2069686114,1612244608,1295284174
128,1994389323,771238993,513340007,1716220321
129,715546289,1179234651,1352600271,1506424772
130,1952823029,85831193,2072645431,455826034
131,1225158453,641083562,1893919617,1197779841
132,1832499170,592574500,1395207258,1252295961
133,1994919679,650246677,590172941,713780355
134,984320701,1201079186,727143391,799511940
135,191638758,1963839590,118253272,881077320
136,1593604884,2129326710,117226754,1949780520
137,1549703841,1799360640,43787276,623020721
138,1201792297,886584116,725901327,668761327
139,210464351,1095664211,1633642810,331752710
140,1030213535,1188678273,79012816,1664201529
141,305795067,1186666523,1864324587,1909621674
142,379043800,177978984,1773839640,1684159322
143,1339850184,605086582,1314375600,2130204794
144,206302629,98405050,1648547605,1118841171
145,1999854996,1754483385,1369035351,977332341
146,1073121005,1864391309,1718577211,1617271895
147,468507057,1299145043,1979664583,212752102
148,170847833,213584397,82751921,1799643828
149,1488121265,1374536927,623841720,1956540150
150,1910763879,268682768,1299227607,473324494
151,799158238,1528565291,1403564229,292517868
152,2145830457,613894631,1259513799,1670600113
153,158164612,801092443,1294533815,1087595680
154,978277817,1899901994,377671612,835896065
155,1223945851,858876432,2004503244,1983429866
156,1958143603,606648916,40862048,847647129
157,1681857778,1941775896,1886918509,517989621
158,1683823696,1873899652,1209421007,1378907436
159,1589265868,682069957,256759065,493748042
160,435729852,1324931623,1921188837,1334893183
161,609828531,1961828086,864457016,472098694
162,512312248,389074462,482576245,149641566
163,998207914,1839352887,572341555,128499128
164,1192274004,794559973,1646442295,999953595
165,1181379465,2121974816,1710700683,501045525
166,728336396,1997753297,1044065099,1994462906
167,2100684206,1016375237,298666939,1441376246
168,1934483841,325044337,1535313364,1989670201
169,171698472,794203876,87201565,1827682854
170,1470096327,2066821761,1014319372,1546906187
171,456071600,1851133760,1556736690,1673998362
172,1181662108,1855395187,1064099953,1028754313
173,973435669,1233411606,2041755152,881366387
174,680520759,1951207216,135208961,1146877736
175,342901489,477643752,563285684,364515372
176,1489916022,614985962,1133253330,1629044944
177,621897014,1196239315,633827437,201935989
178,912668344,661851318,608432591,384876939
179,2084165900,97063206,782066241,1430833082
180,1811762528,1163164323,519731923,654069084
181,1154648791,1308767284,445565291,1650486729
182,1550469046,480390541,1625710102,2047379018
183,1872759510,660556316,1852316788,513830090
184,279209836,1811321627,672183872,773032315
185,1446467904,1686691042,502684046,1746737999
186,1256225894,38619435,2033198648,850972544
187,1802799878,1458307026,1549666402,489320726
188,2073551931,716513926,243972097,2134315051
189,683219953,1479496338,1081920685,2036616370
190,1262298073,1308921746,768336331,1785073323
191,839558758,34755734,1235457322,480196449
192,556382846,1864505249,1451909072,1161591304
193,579906901,64122650,775394587,1251415110
194,143936299,1311029587,128741524,1598363095
195,1879581795,924329763,2079761650,1233881872
196,1323610710,504025762,642499834,650697568
197,1774036566,133062227,1527093156,1940878550
198,388613935,562486402,1739756790,904458492
199,782893800,985713405,361775643,834920488
200,1500685623,422212831,193142362,721698781
201,478497259,1873156002,49658377,1207422254
202,1654059209,1079356347,1748000822,47493858
203,508357084,138747195,1290601906,246464739
204,1964544487,1755005254,458537974,2122303307
205,1816460350,196765562,569407591,714180568
206,48420904,1335237603,1460766274,412331802
207,36906955,518824852,819097100,195173392
208,29472212,1316323564,223726020,739245854
209,893800355,2119491037,2101615491,1047175317
210,1112960800,2119283391,109524568,1677878367
211,1928620801,1573858171,1430229393,853910339
212,1137302265,684549103,950644913,763196711
213,409736954,760853616,1454309302,693693532
214,1333734558,1293261164,83870461,2014663417
215,1990433826,1969755048,13579233,1605380188
216,1676104917,23362290,1273245499,1645284855
217,570647089,565460735,2081552704,575831681
218,1896190308,1763826945,288788435,1864075636
219,1789998289,2097992412,1823238,1715443128
220,744540552,1421438157,1908701308,952568508
221,178579938,673075338,1814177734,453636038
222,471491146,2110774823,491975409,1295101116
223,113600335,2145328451,720447191,869301976
224,1979926448,350508185,580125042,724391681
225,356836230,642426111,2069245675,86518392
226,1556213222,765151789,376008812,1118117473
227,365799355,845836023,1336537896,1633802807
228,690321666,524308075,1668604164,369355165
229,1876558469,60640910,1888288939,1943343440
230,512051437,1775323477,139205086,157866018
231,1365690168,1390845824,1683345238,2008876665
232,875209415,1486464447,329154566,993182539
233,827296978,1576290836,1253821685,1574422103
234,505753742,547255060,1999256480,1740207144
235,1369771138,1089849540,781234787,1366409808
